label,definition,comment,exactSynonym,broadSynonym,narrowSynonym,relatedSynonym,subsetType,uri
mudslide,,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000695
rockfall,,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000693
coastal flood,A coastal flood is a flood which is formed as a result of large amounts of water from marine water bodies or large lakes being transported to usually dry land by displacement processes such as high winds or seismic activity.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000711
grass fire,"A fire which occurs in a grassland, combusting biomass stored in grasses as its primary fuel.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_03000131
pasture fire,A fire which occurs in a pastureland.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001291
industrial fire,A fire which occurs in an industrial area or building.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001287
land fire,"A fire which occurs on land, typically consuming a terrestrial ecosystem as fuel.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001292
flash flood,"A flash flood is a flood formed by the rapid flooding of geomorphic low-lying areas. It may be caused by heavy rain associated with a severe thunderstorm, hurricane, tropical storm, or meltwater from ice or snow flowing over ice sheets or snowfields. Flash floods may also occur after the collapse of a natural ice or debris dam, or a human structure such as a man-made dam. Flash floods are distinguished from a regular flood by a timescale of less than six hours.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000713
flooding,"A general and temporary condition of partial or complete inundation of normally dry land areas from the overflow of inland and/or tidal waters, and/or the unusual and rapid accumulation or runoff of surface waters from any source. A great flow along a watercourse or a flow causing inundation of lands not normally covered by water.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500002
drought,"A hydrological precipitation process with a reduced rate relative to some historical average, typically resulting in ecosystemic perturbations.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_1000745
lahar,"A lahar is a type of mudflow or debris flow composed of a slurry of pyroclastic material, rocky debris, and water. The material flows down from a volcano, typically along a river valley.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000699
polluted lake,A lake which has concentrations of environmental contaminants high enough to harm the ecosystems associated with it.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000680
brush fire,A land fire which consumes low-growing plants such as scrub and brush.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01001289
lava flow,"A lava flow is a moving outpouring of lava, which is created during a non-explosive effusive eruption.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000438
lightning flash,A lightning process during which electrostatic discharge occurs within a single cloud or between multiple clouds.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000902
debris flow,"A mass wasting flow during which water-laden masses of soil and fragmented rock rush down the slopes of elevations, funnel into stream channels, entrain objects in their paths, and form thick, muddy deposits on valley floors.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000698
megathrust earthquake,"A megathrust earthquake is a tectonic earthquake which occurs at subduction zones at destructive plate boundaries (convergent boundaries). These interplate earthquakes are the planet's most powerful, with moment magnitudes that can exceed 9.0.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000679
urban pollution,A pollution process that results in increased levels of pollutants in an urban environment.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_02500044
water flow process,A process during which a volume of water is transported due to a disequilibria in physical forces.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000982
lava flow process,A process in which a volume of lava emitted during an effusive eruption moves along a solid surface.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000730
gamma-ray radiation,A radiation process during which penetrating electromagnetic radiation is emitted from the radioactive decay (gamma decay) of atomic nuclei.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_21001218
riverine flood,A riverine flood is a flood which is formed as a result of a river's flow rate exceeding the capacity of its channel.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000712
storm surge,"A storm surge is a coastal flood which is caused by low-pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000714
storm surge process,"A storm surge process is a coastal flooding process which is caused by low pressure weather systems such as tropical cyclones and strong extratropical cyclones, the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000716
volcanic eruption,"A volcanic eruption is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000634
forest fire,"A wildfire which occurs in a forest, primarily consuming vegetation as fuel.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000791
ash fall process,"An ash fall process is a process in which volcanic ash formed during an explosive volcanic eruption, phreatomagmatic eruption, or during material transport in pyroclastic density currents is pulled towards the planetary surface by gravity.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000702
atmospheric storm,An atmospheric storm is a process in which a portion of an astronomical body's atmosphere is strongly perturbed from its prevaling weather.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000877
tectonic earthquake,"An earthquake caused by the sudden release of energy accumulated in an astronomical body's crust, as the elastic strain placed on constituent rock masses causes them to fracture.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000678
effusive eruption,An effusive eruption is a volcanic eruption during which lava flows onto the ground.,,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000656
explosive eruption,"An explosive eruption is a volcanic process in which pressurised magma is violently expelled and froths into volcanic ash. Explosive eruptions can eject a cloud of rocks, dust, gas, and pyroclastic material  which may then collapse, creating a pyroclastic flow of hot volcanic matter.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000655
flood,"An unusual accumulation of water above the ground caused by high tide, heavy rain, melting snow or rapid runoff from paved areas.",,,,,,environmental_hazards,http://purl.obolibrary.org/obo/ENVO_01000710
